id,posicion,pelicula,bruto,release,total,studio,mesActual
90,1,Ant-Man and the Wasp: Quantumania,171337413,Feb 17,171337413,Walt Disney Studios Motion Pictures,february
91,2,Avatar: The Way of Water,42789356,Dec 16,42789356,20th Century Studios,february
92,3,80 for Brady,37043896,Feb 3,37043896,Paramount Pictures,february
93,4,Knock at the Cabin,34236790,Feb 3,34236790,Universal Pictures,february
94,5,Puss in Boots: The Last Wish,31784405,Dec 21,31784405,Universal Pictures,february
95,6,Cocaine Bear,27230135,Feb 24,27230135,Universal Pictures,february
96,7,Magic Mike's Last Dance,23692704,Feb 10,23692704,Warner Bros.,february
97,8,Jesus Revolution,19161567,Feb 24,19161567,Lionsgate,february
98,9,A Man Called Otto,14869323,Dec 30,14869323,Columbia Pictures,february
99,10,Titanic,14631885,Feb 10,14631885,Paramount Pictures,february
100,11,Missing,13000867,Jan 20,13000867,Sony Pictures Entertainment (SPE),february
101,12,M3gan,11542775,Jan 6,11542775,Universal Pictures,february
102,13,Pathaan,6386048,Jan 25,6386048,Yash Raj Films USA Inc.,february
103,14,BTS: Yet to Come in Cinemas,6350496,Feb 1,6350496,Trafalgar Releasing,february
104,15,Plane,5956985,Jan 13,5956985,Lionsgate,february
105,16,The Chosen Season 3 Finale,5525069,Feb 2,5525069,Fathom Events,february
106,17,Marlowe,4168795,Feb 15,4168795,Open Road Films (II),february
107,18,The Amazing Maurice,3642508,Feb 3,3642508,Viva Pictures,february
108,19,Women Talking,2187124,Dec 23,2187124,United Artists Releasing,february
109,20,Infinity Pool,2031209,Jan 27,2031209,Neon,february
110,21,The Wandering Earth II,1982709,Jan 22,1982709,Well Go USA Entertainment,february
111,22,Everything Everywhere All at Once,1763602,Mar 25,1763602,A24,february
112,23,Winnie the Pooh: Blood and Honey,1750639,Feb 15,1750639,Fathom Events,february
113,24,2023 Oscar Nominated Short Films: Live Action,1681700,Feb 17,1681700,ShortsTV,february
114,25,The Whale,1662435,Dec 9,1662435,A24,february
115,26,Living,1550997,Dec 23,1550997,Sony Pictures Classics,february
116,27,The Fabelmans,966370,Nov 11,966370,Universal Pictures,february
117,28,Close,833497,Jan 27,833497,A24,february
118,29,Black Panther: Wakanda Forever,641412,Nov 11,641412,Walt Disney Studios Motion Pictures,february
119,30,Hidden Blade,609096,Feb 17,609096,Well Go USA Entertainment,february
120,31,Emily,599277,Feb 17,599277,Bleecker Street Media,february
121,32,Maybe I Do,590542,Jan 27,590542,Vertical Entertainment,february
122,33,Of an Age,541200,Feb 17,541200,Focus Features,february
123,34,Consecration,536039,Feb 10,536039,IFC Films,february
124,35,Fear,507814,Jan 27,507814,Hidden Empire Film Group (HEFG),february
125,36,The Banshees of Inisherin,498283,Oct 21,498283,Searchlight Pictures,february
126,37,House Party,492165,Jan 13,492165,Warner Bros.,february
127,38,Mummies,460295,Feb 24,460295,Warner Bros.,february
128,39,Tár,410920,Oct 7,410920,Focus Features,february
129,40,Left Behind: Rise of the Antichrist,372442,Jan 26,372442,Fathom Events,february
130,41,"Crouching Tiger, Hidden Dragon",346771,Feb 17,346771,Sony Pictures Classics,february
131,42,Violent Night,254030,Dec 2,254030,Universal Pictures,february
132,43,Selfiee,238110,Feb 24,238110,-,february
133,44,Whitney Houston: I Wanna Dance with Somebody,220447,Dec 23,220447,TriStar Pictures,february
134,45,Triangle of Sadness,218777,Oct 7,218777,Neon,february
135,46,Lourdes,197702,Feb 8,197702,Fathom Events,february
136,47,EO,195539,Nov 18,195539,Sideshow Releasing,february
137,48,Aftersun,181780,Oct 21,181780,A24,february
138,49,Skinamarink,138973,Jan 13,138973,IFC Films,february
139,50,One Fine Morning,114886,Jan 27,114886,Sony Pictures Entertainment (SPE),february
140,51,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,109090,Dec 30,109090,Sony Pictures Entertainment (SPE),february
141,52,Return to Seoul,90434,Feb 17,90434,Sony Pictures Classics,february
142,53,iMordecai,79588,Feb 10,79588,Greenwich Entertainment,february
143,54,All the Beauty and the Bloodshed,72497,Nov 23,72497,-,february
144,55,Bunker,72175,Feb 24,72175,Blue Fox Entertainment,february
145,56,The Quiet Girl,67823,Feb 24,67823,Neon,february
146,57,Path of the Panther,60455,Feb 24,60455,-,february
147,58,Fire of Love,56332,Jul 6,56332,Neon,february
148,59,No Bears,50485,Dec 23,50485,Janus Films,february
149,60,A Difficult Life,48607,Feb 3,48607,Rialto Pictures,february
150,61,RRR,43062,Jun 1,43062,Variance Films,february
151,62,Let It Be Morning,41354,Feb 3,41354,Cohen Media Group,february
152,63,My Happy Ending,37430,Feb 24,37430,Roadside Attractions,february
153,64,Godland,36383,Feb 3,36383,Janus Films,february
154,65,Guitar Lessons,35047,Sep 23,35047,-,february
155,66,Broker,33276,Dec 23,33276,Neon,february
156,67,Juniper,31569,Feb 24,31569,Greenwich Entertainment,february
157,68,Saint Omer,27843,Jan 13,27843,Neon,february
158,69,Full Time,25410,Feb 3,25410,Music Box Films,february
159,70,Linoleum,23607,Feb 24,23607,Shout! Studios,february
160,71,The Civil Dead,21109,Feb 10,21109,Utopia,february
161,72,The Conformist,19488,Jan 6,19488,Kino Lorber,february
162,73,Cat Daddies,19457,Oct 14,19457,Sky Island Films,february
163,74,Corsage,17066,Dec 23,17066,IFC Films,february
164,75,Baby Ruby,16991,Feb 3,16991,Magnolia Pictures,february
165,76,The Son,15864,Jan 20,15864,Sony Pictures Classics,february
166,77,Irreversible,11291,Feb 10,11291,Altered Innocence,february
167,78,Cinema Sabaya,9372,Feb 10,9372,Kino Lorber,february
168,79,The Trial,7727,Dec 9,7727,Rialto Pictures,february
169,80,Chocolat,7685,Feb 24,7685,Janus Films,february
170,81,The Sorrow and the Pity,7060,Feb 24,7060,Kino Lorber,february
171,82,The Menu,7059,Nov 18,7059,Searchlight Pictures,february
172,83,MindReader,6291,Oct 24,6291,Five & Two Pictures,february
173,84,God's Time,6135,Feb 24,6135,IFC Films,february
174,85,Holy Spider,5006,Oct 28,5006,Utopia,february
175,86,Only in Theaters,4266,Nov 18,4266,-,february
176,87,Framing Agnes,4228,Dec 2,4228,Kino Lorber,february
177,88,Filmmakers for the Prosecution,3859,Jan 27,3859,Kino Lorber,february
178,89,Carole King Home Again: Live in Central Park,2802,Jan 20,2802,Abramorama,february
179,90,"Lyle, Lyle, Crocodile",2227,Oct 7,2227,Sony Pictures Entertainment (SPE),february
180,91,Utama,2170,Nov 4,2170,Kino Lorber,february
181,92,Life Upside Down,2091,Jan 27,2091,IFC Films,february
182,93,Relative,1911,Feb 19,1911,-,february
183,94,The Runner,1850,Oct 28,1850,Rialto Pictures,february
184,95,Boblo Boats: A Detroit Ferry Tale,1782,Sep 16,1782,Lucky Hat Entertainment,february
185,96,The Man in the Basement,1763,Jan 27,1763,Greenwich Entertainment,february
186,97,Devotion,1667,Nov 23,1667,Columbia Pictures,february
187,98,Leonor Will Never Die,1529,Nov 25,1529,Music Box Films,february
188,99,Remember This,1462,Jan 27,1462,Abramorama,february
189,100,Please Baby Please,1436,Oct 28,1436,Music Box Films,february
190,101,Strange World,1319,Nov 23,1319,Walt Disney Studios Motion Pictures,february
191,102,Relative,1281,Jun 8,1281,Newcity,february
192,103,Brotherhood of the Wolf,1067,Jan 20,1067,Rialto Pictures,february
193,104,Film: The Living Record of Our Memory,985,Feb 24,985,Kino Lorber,february
194,105,Loudmouth,723,Dec 9,723,Greenwich Entertainment,february
