Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora,Mes actual
95,Boblo Boats: A Detroit Ferry Tale,1782,1782,Sep 16,Lucky Hat Entertainment,february
96,The Man in the Basement,1763,1763,Jan 27,Greenwich Entertainment,february
97,Devotion,1667,1667,Nov 23,Columbia Pictures,february
98,Leonor Will Never Die,1529,1529,Nov 25,Music Box Films,february
99,Remember This,1462,1462,Jan 27,Abramorama,february
100,Please Baby Please,1436,1436,Oct 28,Music Box Films,february
101,Strange World,1319,1319,Nov 23,Walt Disney Studios Motion Pictures,february
102,Relative,1281,1281,Jun 8,Newcity,february
103,Brotherhood of the Wolf,1067,1067,Jan 20,Rialto Pictures,february
104,Film: The Living Record of Our Memory,985,985,Feb 24,Kino Lorber,february
105,Loudmouth,723,723,Dec 9,Greenwich Entertainment,february
106,The Devil Conspiracy,515,515,Jan 13,-,february
107,Lowndes County and the Road to Black Power,363,363,Dec 2,Greenwich Entertainment,february
108,Hockeyland,301,301,Sep 9,Greenwich Entertainment,february
109,The Super 8 Years,294,294,Dec 16,Kino Lorber,february
110,Jethica,148,148,Jan 13,-,february
